股票代码,股票简称,最新价,最新涨跌幅,涨停[20250523],首次涨停时间[20250523],最终涨停时间[20250523],涨停明细数据[20250523],连续涨停天数[20250523],涨停原因类别[20250523],涨停封单量[20250523],涨停封单额[20250523],market_code,code
300121.SZ,阳谷华泰,15.08,19.968178202,涨停, 13:20:57, 13:20:57,"[{""code"":""300121.SZ"",""time"":1747977657000,""openTime"":null,""duration"":4308000,""updatedTime"":1747981965000,""firstVol"":1.03586222E8,""highestVol"":1.18171022E8,""firstVolDivLTGB"":0.23929231831376493,""firstVolDivVol"":1.578034,""highestVolDivLTGB"":0.27298435318827363,""highestVolDivVol"":1.777862}]",1,光刻胶+并购重组+回购,25326595,381023268.6,33,300121
603004.SH,鼎龙科技,22.31,10.009861933,涨停, 13:23:43, 13:23:43,"[{""code"":""603004.SH"",""time"":1747977823000,""openTime"":null,""duration"":4143000,""updatedTime"":1747981966000,""firstVol"":1.46423E7,""highestVol"":1.52735E7,""firstVolDivLTGB"":0.24868036684782607,""firstVolDivVol"":1.9693,""highestVolDivLTGB"":0.2594004755434783,""highestVolDivVol"":1.996515}]",1,PBO单体+染发剂原料+外销,3889080,85379923.8,17,603004
000859.SZ,国风新材,7.92,10,涨停, 10:00:33, 14:25:51,"[{""code"":""000859.SZ"",""time"":1747965633000,""openTime"":1747965837000,""duration"":201000,""updatedTime"":1747965837000,""firstVol"":1.1653084E8,""highestVol"":1.2717724E8,""firstVolDivLTGB"":0.13007793375746873,""firstVolDivVol"":2.026502,""highestVolDivLTGB"":0.14196201280431603,""highestVolDivVol"":2.126103},{""code"":""000859.SZ"",""time"":1747977276000,""openTime"":1747980243000,""duration"":2964000,""updatedTime"":1747980243000,""firstVol"":1.12815759E8,""highestVol"":1.19547759E8,""firstVolDivLTGB"":0.12593096236155646,""firstVolDivVol"":0.759907,""highestVolDivLTGB"":0.13344557952260394,""highestVolDivVol"":0.802539},{""code"":""000859.SZ"",""time"":1747980258000,""openTime"":1747980267000,""duration"":6000,""updatedTime"":1747980267000,""firstVol"":3.61894E7,""highestVol"":3.61894E7,""firstVolDivLTGB"":0.040396536881760564,""firstVolDivVol"":0.22321,""highestVolDivLTGB"":0.040396536881760564,""highestVolDivVol"":0.22321},{""code"":""000859.SZ"",""time"":1747980306000,""openTime"":1747980315000,""duration"":6000,""updatedTime"":1747980315000,""firstVol"":3.68457E7,""highestVol"":3.68457E7,""firstVolDivLTGB"":0.04112913391723226,""firstVolDivVol"":0.224198,""highestVolDivLTGB"":0.04112913391723226,""highestVolDivVol"":0.224198},{""code"":""000859.SZ"",""time"":1747980417000,""openTime"":1747980456000,""duration"":36000,""updatedTime"":1747980456000,""firstVol"":3.54037E7,""highestVol"":3.66674E7,""firstVolDivLTGB"":0.03951949667031745,""firstVolDivVol"":0.20843,""highestVolDivLTGB"":0.04093010595528711,""highestVolDivVol"":0.215646},{""code"":""000859.SZ"",""time"":1747980612000,""openTime"":1747980645000,""duration"":30000,""updatedTime"":1747980645000,""firstVol"":76800.0,""highestVol"":2.99936E7,""firstVolDivLTGB"":8.572825281765409E-5,""firstVolDivVol"":4.36E-4,""highestVolDivLTGB"":0.033480454735827996,""highestVolDivVol"":0.170144},{""code"":""000859.SZ"",""time"":1747980705000,""openTime"":1747980846000,""duration"":138000,""updatedTime"":1747980846000,""firstVol"":592600.0,""highestVol"":2.99624E7,""firstVolDivLTGB"":6.614917007778882E-4,""firstVolDivVol"":0.003312,""highestVolDivLTGB"":0.03344562763312082,""highestVolDivVol"":0.167399},{""code"":""000859.SZ"",""time"":1747980867000,""openTime"":1747980957000,""duration"":87000,""updatedTime"":1747980957000,""firstVol"":270300.0,""highestVol"":1.12747E7,""firstVolDivLTGB"":3.0172326479963415E-4,""firstVolDivVol"":0.00149,""highestVolDivLTGB"":0.012585420990145894,""highestVolDivVol"":0.061949},{""code"":""000859.SZ"",""time"":1747980966000,""openTime"":1747980975000,""duration"":6000,""updatedTime"":1747980975000,""firstVol"":16300.0,""highestVol"":68000.0,""firstVolDivLTGB"":1.8194928657913564E-5,""firstVolDivVol"":8.9E-5,""highestVolDivLTGB"":7.590522384896456E-5,""highestVolDivVol"":3.72E-4},{""code"":""000859.SZ"",""time"":1747981005000,""openTime"":1747981053000,""duration"":45000,""updatedTime"":1747981053000,""firstVol"":10200.0,""highestVol"":406900.0,""firstVolDivLTGB"":1.1385783577344684E-5,""firstVolDivVol"":5.6E-5,""highestVolDivLTGB"":4.5420346447270116E-4,""highestVolDivVol"":0.002217},{""code"":""000859.SZ"",""time"":1747981056000,""openTime"":1747981068000,""duration"":9000,""updatedTime"":1747981068000,""firstVol"":81900.0,""highestVol"":81900.0,""firstVolDivLTGB"":9.142114460632644E-5,""firstVolDivVol"":4.45E-4,""highestVolDivLTGB"":9.142114460632644E-5,""highestVolDivVol"":4.45E-4},{""code"":""000859.SZ"",""time"":1747981080000,""openTime"":1747981086000,""duration"":3000,""updatedTime"":1747981086000,""firstVol"":2600.0,""highestVol"":9200.0,""firstVolDivLTGB"":2.902258558930998E-6,""firstVolDivVol"":1.4E-5,""highestVolDivLTGB"":1.0269530285448148E-5,""highestVolDivVol"":5.0E-5},{""code"":""000859.SZ"",""time"":1747981092000,""openTime"":1747981095000,""duration"":0,""updatedTime"":1747981095000,""firstVol"":3700.0,""highestVol"":3700.0,""firstVolDivLTGB"":4.130137180017189E-6,""firstVolDivVol"":2.0E-5,""highestVolDivLTGB"":4.130137180017189E-6,""highestVolDivVol"":2.0E-5},{""code"":""000859.SZ"",""time"":1747981098000,""openTime"":1747981362000,""duration"":261000,""updatedTime"":1747981362000,""firstVol"":14300.0,""highestVol"":2.0065E7,""firstVolDivLTGB"":1.596242207412049E-5,""firstVolDivVol"":7.7E-5,""highestVolDivLTGB"":0.02239762230190403,""highestVolDivVol"":0.108578},{""code"":""000859.SZ"",""time"":1747981368000,""openTime"":1747981407000,""duration"":36000,""updatedTime"":1747981407000,""firstVol"":4478440.0,""highestVol"":1.174874E7,""firstVolDivLTGB"":0.00499907339256113,""firstVolDivVol"":0.023965,""highestVolDivLTGB"":0.013114569700636527,""highestVolDivVol"":0.062835},{""code"":""000859.SZ"",""time"":1747981446000,""openTime"":1747981467000,""duration"":18000,""updatedTime"":1747981467000,""firstVol"":13940.0,""highestVol"":57740.0,""firstVolDivLTGB"":1.5560570889037734E-5,""firstVolDivVol"":7.4E-5,""highestVolDivLTGB"":6.445246507410608E-5,""highestVolDivVol"":3.06E-4},{""code"":""000859.SZ"",""time"":1747981551000,""openTime"":null,""duration"":417000,""updatedTime"":1747981968000,""firstVol"":128500.0,""highestVol"":1.43438E7,""firstVolDivLTGB"":1.4343854800870508E-4,""firstVolDivVol"":6.77E-4,""highestVolDivLTGB"":0.016011313968305557,""highestVolDivVol"":0.07555}]",1,,9041630,71364189.6,33,000859
301137.SZ,哈焊华通,27.49,19.991270188,涨停, 09:33:36, 09:33:36,"[{""code"":""301137.SZ"",""time"":1747964016000,""openTime"":null,""duration"":12603000,""updatedTime"":1747981965000,""firstVol"":4.38069E7,""highestVol"":4.7758E7,""firstVolDivLTGB"":0.43073868899075535,""firstVolDivVol"":5.104439,""highestVolDivLTGB"":0.4695885421890271,""highestVolDivVol"":4.90529}]",1,可控核聚变+焊接材料+此前收购中达金属60%股权+央企,7067000,194271830,33,301137
002471.SZ,中超控股,4.71,10.046728972,涨停, 09:31:42, 09:31:57,"[{""code"":""002471.SZ"",""time"":1747963902000,""openTime"":1747963908000,""duration"":3000,""updatedTime"":1747963908000,""firstVol"":1.6058295E7,""highestVol"":1.6058295E7,""firstVolDivLTGB"":0.012305237419198103,""firstVolDivVol"":0.121472,""highestVolDivLTGB"":0.012305237419198103,""highestVolDivVol"":0.121472},{""code"":""002471.SZ"",""time"":1747963917000,""openTime"":null,""duration"":12669000,""updatedTime"":1747981968000,""firstVol"":8682300.0,""highestVol"":8.797245E7,""firstVolDivLTGB"":0.006653119951072247,""firstVolDivVol"":0.046903,""highestVolDivLTGB"":0.06741200629322941,""highestVolDivVol"":0.436409}]",2,曾研发外骨骼机器人用电缆+军工+低空经济+电线电缆,41491250,195430381.5,33,002471
000695.SZ,滨海能源,15.14,10.029069767,涨停, 09:25:00, 09:30:12,"[{""code"":""000695.SZ"",""time"":1747963500000,""openTime"":1747963803000,""duration"":45000,""updatedTime"":1747963803000,""firstVol"":5271854.0,""highestVol"":5271854.0,""firstVolDivLTGB"":0.023777040163978802,""firstVolDivVol"":0.500506,""highestVolDivLTGB"":0.023777040163978802,""highestVolDivVol"":0.500506},{""code"":""000695.SZ"",""time"":1747963812000,""openTime"":null,""duration"":12801000,""updatedTime"":1747981968000,""firstVol"":453090.0,""highestVol"":1.533869E7,""firstVolDivLTGB"":0.0020435200079321537,""firstVolDivVol"":0.020473,""highestVolDivLTGB"":0.06918033924930775,""highestVolDivVol"":0.616416}]",5,重大资产重组+固态电池+硅基负极+包装印刷,6963700,105422848,33,000695
301277.SZ,新天地,15.29,20.015698587,涨停, 14:31:24, 14:31:24,"[{""code"":""301277.SZ"",""time"":1747981884000,""openTime"":null,""duration"":81000,""updatedTime"":1747981965000,""firstVol"":6.9949318E7,""highestVol"":6.9949318E7,""firstVolDivLTGB"":0.692441357218091,""firstVolDivVol"":1.253657,""highestVolDivLTGB"":0.692441357218091,""highestVolDivVol"":1.253657}]",0,,45881216,696769520.04,33,301277
001367.SZ,海森药业,25.05,10.013175231,涨停, 09:25:00, 09:25:00,"[{""code"":""001367.SZ"",""time"":1747963500000,""openTime"":null,""duration"":12774000,""updatedTime"":1747981968000,""firstVol"":7997063.0,""highestVol"":8938655.0,""firstVolDivLTGB"":0.206594873898939,""firstVolDivVol"":11.848607,""highestVolDivLTGB"":0.23091981425569869,""highestVolDivVol"":8.870837}]",2,化学原料药+合成生物+全球化战略,6663405,166940840.25,33,001367
002366.SZ,融发核电,5.63,9.9609375,涨停, 09:31:33, 09:31:33,"[{""code"":""002366.SZ"",""time"":1747963893000,""openTime"":null,""duration"":12678000,""updatedTime"":1747981968000,""firstVol"":1.905247E8,""highestVol"":2.119775E8,""firstVolDivLTGB"":0.15163557480526765,""firstVolDivVol"":4.704534,""highestVolDivLTGB"":0.16870951670982096,""highestVolDivVol"":3.910815}]",1,可控核聚变+小型堆核岛主设备关键装备制造+国企,61478600,346094116,33,002366
000561.SZ,烽火电子,9.57,10,涨停, 13:34:12, 13:34:12,"[{""code"":""000561.SZ"",""time"":1747978452000,""openTime"":null,""duration"":3516000,""updatedTime"":1747981968000,""firstVol"":4.4233188E7,""highestVol"":5.9626788E7,""firstVolDivLTGB"":0.07350268864856041,""firstVolDivVol"":0.460538,""highestVolDivLTGB"":0.0990823730244747,""highestVolDivVol"":0.612267}]",2,军工+资产重组+低空防御系统+国企改革,26277698,251248846.86,33,000561
000691.SZ,*ST亚太,5.26,4.99001996,涨停, 09:32:54, 09:46:12,"[{""code"":""000691.SZ"",""time"":1747963974000,""openTime"":1747964136000,""duration"":159000,""updatedTime"":1747964136000,""firstVol"":668000.0,""highestVol"":4033500.0,""firstVolDivLTGB"":0.0020663841370990193,""firstVolDivVol"":0.128856,""highestVolDivLTGB"":0.012477186252977387,""highestVolDivVol"":0.723822},{""code"":""000691.SZ"",""time"":1747964157000,""openTime"":1747964541000,""duration"":381000,""updatedTime"":1747964541000,""firstVol"":1672300.0,""highestVol"":3182100.0,""firstVolDivLTGB"":0.005173075138429177,""firstVolDivVol"":0.206888,""highestVolDivLTGB"":0.009843474495004176,""highestVolDivVol"":0.383316},{""code"":""000691.SZ"",""time"":1747964556000,""openTime"":1747964697000,""duration"":138000,""updatedTime"":1747964697000,""firstVol"":628400.0,""highestVol"":2984700.0,""firstVolDivLTGB"":0.0019438859157979399,""firstVolDivVol"":0.061123,""highestVolDivLTGB"":0.009232839422154856,""highestVolDivVol"":0.286828},{""code"":""000691.SZ"",""time"":1747964700000,""openTime"":1747964709000,""duration"":6000,""updatedTime"":1747964709000,""firstVol"":11100.0,""highestVol"":17300.0,""firstVolDivLTGB"":3.433662263742382E-5,""firstVolDivVol"":9.76E-4,""highestVolDivLTGB"":5.351563708355245E-5,""highestVolDivVol"":0.001518},{""code"":""000691.SZ"",""time"":1747964736000,""openTime"":1747964751000,""duration"":12000,""updatedTime"":1747964751000,""firstVol"":53100.0,""highestVol"":74500.0,""firstVolDivLTGB"":1.6425897856281127E-4,""firstVolDivVol"":0.004495,""highestVolDivLTGB"":2.3045751229622296E-4,""highestVolDivVol"":0.006301},{""code"":""000691.SZ"",""time"":1747964763000,""openTime"":1747964766000,""duration"":0,""updatedTime"":1747964766000,""firstVol"":19200.0,""highestVol"":19200.0,""firstVolDivLTGB"":5.939307699446283E-5,""firstVolDivVol"":0.0016,""highestVolDivLTGB"":5.939307699446283E-5,""highestVolDivVol"":0.0016},{""code"":""000691.SZ"",""time"":1747964772000,""openTime"":null,""duration"":11847000,""updatedTime"":1747981968000,""firstVol"":600.0,""highestVol"":3272000.0,""firstVolDivLTGB"":1.8560336560769635E-6,""firstVolDivVol"":5.0E-5,""highestVolDivLTGB"":0.01012157020447304,""highestVolDivVol"":0.255517}]",1,精细化工+战略投资+ST板块,1796190,9390099.4,33,000691
603192.SH,汇得科技,23.55,9.995329285,涨停, 09:25:02, 09:43:47,"[{""code"":""603192.SH"",""time"":1747963502000,""openTime"":1747963979000,""duration"":204000,""updatedTime"":1747963979000,""firstVol"":2153610.0,""highestVol"":2754617.0,""firstVolDivLTGB"":0.015530841308820093,""firstVolDivVol"":3.283993,""highestVolDivLTGB"":0.019865026394555226,""highestVolDivVol"":2.030256},{""code"":""603192.SH"",""time"":1747964627000,""openTime"":null,""duration"":11964000,""updatedTime"":1747981967000,""firstVol"":709800.0,""highestVol"":1.003665E7,""firstVolDivLTGB"":0.005118749987695312,""firstVolDivVol"":0.062713,""highestVolDivLTGB"":0.07237968732601037,""highestVolDivVol"":0.851112}]",3,聚氨酯材料+下游运用广泛,5523890,130075834.5,17,603192
002727.SZ,一心堂,19.01,10.011574074,涨停, 13:44:03, 14:20:57,"[{""code"":""002727.SZ"",""time"":1747979043000,""openTime"":1747981239000,""duration"":2193000,""updatedTime"":1747981239000,""firstVol"":2.55072E7,""highestVol"":2.93252E7,""firstVolDivLTGB"":0.06419935013712495,""firstVolDivVol"":0.290866,""highestVolDivLTGB"":0.07380891601748592,""highestVolDivVol"":0.333007},{""code"":""002727.SZ"",""time"":1747981257000,""openTime"":null,""duration"":711000,""updatedTime"":1747981968000,""firstVol"":9762763.0,""highestVol"":1.3629163E7,""firstVolDivLTGB"":0.02457200477287858,""firstVolDivVol"":0.100667,""highestVolDivLTGB"":0.03430338914161289,""highestVolDivVol"":0.140308}]",1,医药零售+养老概念+新零售+中药,11415163,216945218.63,33,002727
000710.SZ,贝瑞基因,13.83,10.023866348,涨停, 10:25:48, 10:25:48,"[{""code"":""000710.SZ"",""time"":1747967148000,""openTime"":null,""duration"":9426000,""updatedTime"":1747981968000,""firstVol"":6.79108E7,""highestVol"":7.35075E7,""firstVolDivLTGB"":0.2077549655628098,""firstVolDivVol"":3.212559,""highestVolDivLTGB"":0.2248765753180384,""highestVolDivVol"":3.121263}]",1,基因测序+出生缺陷预防+AI智能体,16277100,225094314,33,000710
002427.SZ,尤夫股份,8.38,9.973753281,涨停, 09:43:12, 14:08:24,"[{""code"":""002427.SZ"",""time"":1747964592000,""openTime"":1747965126000,""duration"":531000,""updatedTime"":1747965126000,""firstVol"":8.9265E7,""highestVol"":1.00666615E8,""firstVolDivLTGB"":0.09064674087099353,""firstVolDivVol"":1.543855,""highestVolDivLTGB"":0.1022248424832249,""highestVolDivVol"":1.598915},{""code"":""002427.SZ"",""time"":1747965147000,""openTime"":1747965375000,""duration"":225000,""updatedTime"":1747965375000,""firstVol"":6.5212588E7,""highestVol"":6.6009488E7,""firstVolDivLTGB"":0.06622201944729583,""firstVolDivVol"":0.701126,""highestVolDivLTGB"":0.06703125473324323,""highestVolDivVol"":0.706608},{""code"":""002427.SZ"",""time"":1747965408000,""openTime"":1747965420000,""duration"":9000,""updatedTime"":1747965420000,""firstVol"":1.7512E7,""highestVol"":1.7512E7,""firstVolDivLTGB"":0.017783069804882527,""firstVolDivVol"":0.169585,""highestVolDivLTGB"":0.017783069804882527,""highestVolDivVol"":0.169585},{""code"":""002427.SZ"",""time"":1747965435000,""openTime"":1747965468000,""duration"":30000,""updatedTime"":1747965468000,""firstVol"":4.3933538E7,""highestVol"":5.1449538E7,""firstVolDivLTGB"":0.04461358914055842,""firstVolDivVol"":0.414614,""highestVolDivLTGB"":0.05224592997275903,""highestVolDivVol"":0.484664},{""code"":""002427.SZ"",""time"":1747965471000,""openTime"":1747980426000,""duration"":9585000,""updatedTime"":1747980426000,""firstVol"":1.29954E7,""highestVol"":3.59191E7,""firstVolDivLTGB"":0.013196556951939836,""firstVolDivVol"":0.118878,""highestVolDivLTGB"":0.036475094942242804,""highestVolDivVol"":0.327095},{""code"":""002427.SZ"",""time"":1747980450000,""openTime"":1747980495000,""duration"":42000,""updatedTime"":1747980495000,""firstVol"":2241300.0,""highestVol"":5655400.0,""firstVolDivLTGB"":0.0022759932819599823,""firstVolDivVol"":0.017986,""highestVolDivLTGB"":0.005742940439386286,""highestVolDivVol"":0.045238},{""code"":""002427.SZ"",""time"":1747980504000,""openTime"":null,""duration"":1464000,""updatedTime"":1747981968000,""firstVol"":2.37787E7,""highestVol"":2.93038E7,""firstVolDivLTGB"":0.02414677261131568,""firstVolDivVol"":0.188818,""highestVolDivLTGB"":0.029757396125417807,""highestVolDivVol"":0.232508}]",1,超高分子量聚乙烯纤维+涤纶+拒海水聚酯工业丝+陕西国资,9590749,80368800.62,33,002427
603232.SH,格尔软件,14.4,10.007639419,涨停, 10:14:16, 14:08:04,"[{""code"":""603232.SH"",""time"":1747966456000,""openTime"":1747966954000,""duration"":495000,""updatedTime"":1747966954000,""firstVol"":2.5072532E7,""highestVol"":2.7555932E7,""firstVolDivLTGB"":0.1083979968153576,""firstVolDivVol"":2.804023,""highestVolDivLTGB"":0.11913467013144946,""highestVolDivVol"":2.802499},{""code"":""603232.SH"",""time"":1747967095000,""openTime"":1747967116000,""duration"":18000,""updatedTime"":1747967116000,""firstVol"":1.11959E7,""highestVol"":1.22045E7,""firstVolDivLTGB"":0.0484040914792755,""firstVolDivVol"":0.588197,""highestVolDivLTGB"":0.05276464906428405,""highestVolDivVol"":0.63967},{""code"":""603232.SH"",""time"":1747967146000,""openTime"":1747979428000,""duration"":6903000,""updatedTime"":1747979428000,""firstVol"":1.17826E7,""highestVol"":1.41448E7,""firstVolDivLTGB"":0.05094061649922842,""firstVolDivVol"":0.574366,""highestVolDivLTGB"":0.061153296577859395,""highestVolDivVol"":0.68071},{""code"":""603232.SH"",""time"":1747979545000,""openTime"":1747980067000,""duration"":519000,""updatedTime"":1747980067000,""firstVol"":5831800.0,""highestVol"":6390900.0,""firstVolDivLTGB"":0.02521306734508515,""firstVolDivVol"":0.202714,""highestVolDivLTGB"":0.027630267172348965,""highestVolDivVol"":0.221975},{""code"":""603232.SH"",""time"":1747980091000,""openTime"":1747980115000,""duration"":21000,""updatedTime"":1747980115000,""firstVol"":10300.0,""highestVol"":41300.0,""firstVolDivLTGB"":4.453077843108081E-5,""firstVolDivVol"":3.47E-4,""highestVolDivLTGB"":1.7855545137899392E-4,""highestVolDivVol"":0.001387},{""code"":""603232.SH"",""time"":1747980181000,""openTime"":1747980241000,""duration"":57000,""updatedTime"":1747980241000,""firstVol"":1489600.0,""highestVol"":5284600.0,""firstVolDivLTGB"":0.00644010170397456,""firstVolDivVol"":0.049384,""highestVolDivLTGB"":0.02284731569872715,""highestVolDivVol"":0.174843},{""code"":""603232.SH"",""time"":1747980244000,""openTime"":1747980247000,""duration"":0,""updatedTime"":1747980247000,""firstVol"":17800.0,""highestVol"":17800.0,""firstVolDivLTGB"":7.695610253138236E-5,""firstVolDivVol"":5.84E-4,""highestVolDivLTGB"":7.695610253138236E-5,""highestVolDivVol"":5.84E-4},{""code"":""603232.SH"",""time"":1747980394000,""openTime"":1747980436000,""duration"":39000,""updatedTime"":1747980436000,""firstVol"":13620.0,""highestVol"":5475820.0,""firstVolDivLTGB"":5.888438856614763E-5,""firstVolDivVol"":4.35E-4,""highestVolDivLTGB"":0.023674031761988436,""highestVolDivVol"":0.174523},{""code"":""603232.SH"",""time"":1747980484000,""openTime"":null,""duration"":1482000,""updatedTime"":1747981966000,""firstVol"":135160.0,""highestVol"":5553560.0,""firstVolDivLTGB"":5.843475740529012E-4,""firstVolDivVol"":0.004265,""highestVolDivLTGB"":0.02401013105472943,""highestVolDivVol"":0.175026}]",1,军工+抗量子密码+专精特新小巨人,2247700,32591520,17,603232
603333.SH,尚纬股份,6.8,10.03236246,涨停, 09:25:02, 09:25:02,"[{""code"":""603333.SH"",""time"":1747963502000,""openTime"":null,""duration"":12768000,""updatedTime"":1747981967000,""firstVol"":2.22254E7,""highestVol"":2.50261E7,""firstVolDivLTGB"":0.035759313827142016,""firstVolDivVol"":7.184316,""highestVolDivLTGB"":0.04026546940749948,""highestVolDivVol"":3.55338}]",2,核电电缆+新能源负极材料+军工特种电缆,18471400,125605520,17,603333
603681.SH,永冠新材,15.4,10,涨停, 09:54:58, 09:54:58,"[{""code"":""603681.SH"",""time"":1747965298000,""openTime"":null,""duration"":11289000,""updatedTime"":1747981966000,""firstVol"":1.9087E7,""highestVol"":1.9087E7,""firstVolDivLTGB"":0.09986344183142866,""firstVolDivVol"":2.545986,""highestVolDivLTGB"":0.09986344183142866,""highestVolDivVol"":2.545986}]",1,胶粘解决方案+汽车膜+AI智能体+外销,6047357,93129297.8,17,603681
603949.SH,雪龙集团,21.59,9.984717269,涨停, 09:52:07, 09:52:07,"[{""code"":""603949.SH"",""time"":1747965127000,""openTime"":null,""duration"":11466000,""updatedTime"":1747981966000,""firstVol"":1.50463E7,""highestVol"":1.50463E7,""firstVolDivLTGB"":0.07157907940977733,""firstVolDivVol"":1.431318,""highestVolDivLTGB"":0.07157907940977733,""highestVolDivVol"":1.431318}]",1,间接投资宇树科技+汽车热管理,4105360,88634722.4,17,603949
