股票代码,股票简称,最新价,最新涨跌幅,涨停[20250523],首次涨停时间[20250523],最终涨停时间[20250523],涨停明细数据[20250523],连续涨停天数[20250523],涨停原因类别[20250523],涨停封单量[20250523],涨停封单额[20250523],market_code,code
002886.SZ,沃特股份,20.33,10.010822511,涨停, 09:31:48, 14:23:48,"[{""code"":""002886.SZ"",""time"":1747963908000,""openTime"":1747964427000,""duration"":516000,""updatedTime"":1747964427000,""firstVol"":3.45363E7,""highestVol"":3.63338E7,""firstVolDivLTGB"":0.16518367743080048,""firstVolDivVol"":2.771418,""highestVolDivLTGB"":0.1737809406055431,""highestVolDivVol"":2.832162},{""code"":""002886.SZ"",""time"":1747964481000,""openTime"":1747964502000,""duration"":18000,""updatedTime"":1747964502000,""firstVol"":2.1326E7,""highestVol"":2.18328E7,""firstVolDivLTGB"":0.10200013043925524,""firstVolDivVol"":0.903619,""highestVolDivLTGB"":0.10442410427901022,""highestVolDivVol"":0.923239},{""code"":""002886.SZ"",""time"":1747964529000,""openTime"":1747981386000,""duration"":11493000,""updatedTime"":1747981386000,""firstVol"":1.90139E7,""highestVol"":2.0536E7,""firstVolDivLTGB"":0.09094158680291453,""firstVolDivVol"":0.737403,""highestVolDivLTGB"":0.09822163925258115,""highestVolDivVol"":0.794148},{""code"":""002886.SZ"",""time"":1747981389000,""openTime"":1747981398000,""duration"":6000,""updatedTime"":1747981398000,""firstVol"":217200.0,""highestVol"":217200.0,""firstVolDivLTGB"":0.00103884593132356,""firstVolDivVol"":0.006377,""highestVolDivLTGB"":0.00103884593132356,""highestVolDivVol"":0.006377},{""code"":""002886.SZ"",""time"":1747981428000,""openTime"":null,""duration"":537000,""updatedTime"":1747981965000,""firstVol"":47800.0,""highestVol"":1.07876E7,""firstVolDivLTGB"":2.2862263129496392E-4,""firstVolDivVol"":0.001385,""highestVolDivLTGB"":0.05159601458907014,""highestVolDivVol"":0.31243}]",1,LCP重庆基地投产+机器人材料+小米汽车,4193380,85227019.4,33,002886
300584.SZ,海辰药业,35.16,20,涨停, 09:33:21, 14:27:45,"[{""code"":""300584.SZ"",""time"":1747964001000,""openTime"":1747964232000,""duration"":228000,""updatedTime"":1747964232000,""firstVol"":1.6497099E7,""highestVol"":2.0053799E7,""firstVolDivLTGB"":0.20090208476950305,""firstVolDivVol"":1.826598,""highestVolDivLTGB"":0.24421566644223786,""highestVolDivVol"":1.993915},{""code"":""300584.SZ"",""time"":1747964259000,""openTime"":1747964304000,""duration"":42000,""updatedTime"":1747964304000,""firstVol"":1.40841E7,""highestVol"":1.45632E7,""firstVolDivLTGB"":0.17151652251721092,""firstVolDivVol"":1.070103,""highestVolDivLTGB"":0.1773510143156216,""highestVolDivVol"":1.101616},{""code"":""300584.SZ"",""time"":1747964445000,""openTime"":1747964556000,""duration"":108000,""updatedTime"":1747964556000,""firstVol"":8619350.0,""highestVol"":1.02055E7,""firstVolDivLTGB"":0.10496666015994789,""firstVolDivVol"":0.505754,""highestVolDivLTGB"":0.12428283458292658,""highestVolDivVol"":0.595545},{""code"":""300584.SZ"",""time"":1747964694000,""openTime"":1747964706000,""duration"":9000,""updatedTime"":1747964706000,""firstVol"":570956.0,""highestVol"":589256.0,""firstVolDivLTGB"":0.006953116466819796,""firstVolDivVol"":0.028286,""highestVolDivLTGB"":0.007175974325118513,""highestVolDivVol"":0.029176},{""code"":""300584.SZ"",""time"":1747964748000,""openTime"":1747964754000,""duration"":3000,""updatedTime"":1747964754000,""firstVol"":800.0,""highestVol"":6600.0,""firstVolDivLTGB"":9.74242003491659E-6,""firstVolDivVol"":3.9E-5,""highestVolDivLTGB"":8.037496528806187E-5,""highestVolDivVol"":3.19E-4},{""code"":""300584.SZ"",""time"":1747964946000,""openTime"":1747966965000,""duration"":2016000,""updatedTime"":1747966965000,""firstVol"":706900.0,""highestVol"":6134300.0,""firstVolDivLTGB"":0.008608645903353172,""firstVolDivVol"":0.032608,""highestVolDivLTGB"":0.07470365902523604,""highestVolDivVol"":0.280844},{""code"":""300584.SZ"",""time"":1747966992000,""openTime"":1747967025000,""duration"":30000,""updatedTime"":1747967025000,""firstVol"":20600.0,""highestVol"":337400.0,""firstVolDivLTGB"":2.508673158991022E-4,""firstVolDivVol"":8.84E-4,""highestVolDivLTGB"":0.004108865649726072,""highestVolDivVol"":0.014468},{""code"":""300584.SZ"",""time"":1747967229000,""openTime"":1747967319000,""duration"":87000,""updatedTime"":1747967319000,""firstVol"":290866.0,""highestVol"":1285766.0,""firstVolDivLTGB"":0.003542173432345061,""firstVolDivVol"":0.011986,""highestVolDivLTGB"":0.015658090548268205,""highestVolDivVol"":0.05297},{""code"":""300584.SZ"",""time"":1747968057000,""openTime"":1747968075000,""duration"":15000,""updatedTime"":1747968075000,""firstVol"":300.0,""highestVol"":56400.0,""firstVolDivLTGB"":3.6534075130937213E-6,""firstVolDivVol"":1.2E-5,""highestVolDivLTGB"":6.868406124616196E-4,""highestVolDivVol"":0.002191},{""code"":""300584.SZ"",""time"":1747968120000,""openTime"":1747970712000,""duration"":2589000,""updatedTime"":1747970712000,""firstVol"":2200.0,""highestVol"":1555800.0,""firstVolDivLTGB"":2.679165509602062E-5,""firstVolDivVol"":8.5E-5,""highestVolDivLTGB"":0.01894657136290404,""highestVolDivVol"":0.060176},{""code"":""300584.SZ"",""time"":1747970751000,""openTime"":1747970811000,""duration"":57000,""updatedTime"":1747970811000,""firstVol"":1400.0,""highestVol"":57700.0,""firstVolDivLTGB"":1.7049235061104034E-5,""firstVolDivVol"":5.3E-5,""highestVolDivLTGB"":7.02672045018359E-4,""highestVolDivVol"":0.002168},{""code"":""300584.SZ"",""time"":1747970853000,""openTime"":1747970865000,""duration"":9000,""updatedTime"":1747970865000,""firstVol"":3100.0,""highestVol"":13300.0,""firstVolDivLTGB"":3.7751877635301786E-5,""firstVolDivVol"":1.16E-4,""highestVolDivLTGB"":1.619677330804883E-4,""highestVolDivVol"":4.98E-4},{""code"":""300584.SZ"",""time"":1747979094000,""openTime"":1747979250000,""duration"":153000,""updatedTime"":1747979250000,""firstVol"":295500.0,""highestVol"":770200.0,""firstVolDivLTGB"":0.0035986064003973154,""firstVolDivVol"":0.009607,""highestVolDivLTGB"":0.009379514888615947,""highestVolDivVol"":0.024986},{""code"":""300584.SZ"",""time"":1747979679000,""openTime"":1747979697000,""duration"":15000,""updatedTime"":1747979697000,""firstVol"":7286.0,""highestVol"":12086.0,""firstVolDivLTGB"":8.872909046800284E-5,""firstVolDivVol"":2.31E-4,""highestVolDivLTGB"":1.4718361067750238E-4,""highestVolDivVol"":3.83E-4},{""code"":""300584.SZ"",""time"":1747980264000,""openTime"":1747980492000,""duration"":225000,""updatedTime"":1747980492000,""firstVol"":1500.0,""highestVol"":324200.0,""firstVolDivLTGB"":1.8267037565468605E-5,""firstVolDivVol"":4.7E-5,""highestVolDivLTGB"":0.003948115719149948,""highestVolDivVol"":0.010186},{""code"":""300584.SZ"",""time"":1747980558000,""openTime"":1747980597000,""duration"":36000,""updatedTime"":1747980597000,""firstVol"":80000.0,""highestVol"":80000.0,""firstVolDivLTGB"":9.74242003491659E-4,""firstVolDivVol"":0.002497,""highestVolDivLTGB"":9.74242003491659E-4,""highestVolDivVol"":0.002497},{""code"":""300584.SZ"",""time"":1747980603000,""openTime"":1747980606000,""duration"":0,""updatedTime"":1747980606000,""firstVol"":47.0,""highestVol"":47.0,""firstVolDivLTGB"":5.723671770513496E-7,""firstVolDivVol"":1.0E-6,""highestVolDivLTGB"":5.723671770513496E-7,""highestVolDivVol"":1.0E-6},{""code"":""300584.SZ"",""time"":1747980633000,""openTime"":1747980642000,""duration"":6000,""updatedTime"":1747980642000,""firstVol"":6400.0,""highestVol"":6400.0,""firstVolDivLTGB"":7.793936027933272E-5,""firstVolDivVol"":1.99E-4,""highestVolDivLTGB"":7.793936027933272E-5,""highestVolDivVol"":1.99E-4},{""code"":""300584.SZ"",""time"":1747980657000,""openTime"":1747980750000,""duration"":90000,""updatedTime"":1747980750000,""firstVol"":10300.0,""highestVol"":28700.0,""firstVolDivLTGB"":1.254336579495511E-4,""firstVolDivVol"":3.2E-4,""highestVolDivLTGB"":3.4950931875263265E-4,""highestVolDivVol"":8.92E-4},{""code"":""300584.SZ"",""time"":1747980780000,""openTime"":1747980900000,""duration"":117000,""updatedTime"":1747980900000,""firstVol"":10347.0,""highestVol"":31747.0,""firstVolDivLTGB"":1.2600602512660244E-4,""firstVolDivVol"":3.21E-4,""highestVolDivLTGB"":3.8661576106062125E-4,""highestVolDivVol"":9.86E-4},{""code"":""300584.SZ"",""time"":1747980915000,""openTime"":1747980918000,""duration"":0,""updatedTime"":1747980918000,""firstVol"":1347.0,""highestVol"":1347.0,""firstVolDivLTGB"":1.640379973379081E-5,""firstVolDivVol"":4.2E-5,""highestVolDivLTGB"":1.640379973379081E-5,""highestVolDivVol"":4.2E-5},{""code"":""300584.SZ"",""time"":1747981026000,""openTime"":1747981071000,""duration"":42000,""updatedTime"":1747981071000,""firstVol"":16147.0,""highestVol"":44847.0,""firstVolDivLTGB"":1.9663857037974773E-4,""firstVolDivVol"":5.0E-4,""highestVolDivLTGB"":5.461478891323804E-4,""highestVolDivVol"":0.001388},{""code"":""300584.SZ"",""time"":1747981104000,""openTime"":1747981113000,""duration"":6000,""updatedTime"":1747981113000,""firstVol"":6900.0,""highestVol"":6900.0,""firstVolDivLTGB"":8.402837280115559E-5,""firstVolDivVol"":2.13E-4,""highestVolDivLTGB"":8.402837280115559E-5,""highestVolDivVol"":2.13E-4},{""code"":""300584.SZ"",""time"":1747981122000,""openTime"":1747981125000,""duration"":0,""updatedTime"":1747981125000,""firstVol"":900.0,""highestVol"":900.0,""firstVolDivLTGB"":1.0960222539281164E-5,""firstVolDivVol"":2.8E-5,""highestVolDivLTGB"":1.0960222539281164E-5,""highestVolDivVol"":2.8E-5},{""code"":""300584.SZ"",""time"":1747981128000,""openTime"":1747981152000,""duration"":21000,""updatedTime"":1747981152000,""firstVol"":900.0,""highestVol"":17100.0,""firstVolDivLTGB"":1.0960222539281164E-5,""firstVolDivVol"":2.8E-5,""highestVolDivLTGB"":2.082442282463421E-4,""highestVolDivVol"":5.28E-4},{""code"":""300584.SZ"",""time"":1747981269000,""openTime"":1747981395000,""duration"":123000,""updatedTime"":1747981395000,""firstVol"":15200.0,""highestVol"":78600.0,""firstVolDivLTGB"":1.8510598066341522E-4,""firstVolDivVol"":4.68E-4,""highestVolDivLTGB"":9.571927684305549E-4,""highestVolDivVol"":0.00242},{""code"":""300584.SZ"",""time"":1747981482000,""openTime"":1747981647000,""duration"":162000,""updatedTime"":1747981647000,""firstVol"":6050.0,""highestVol"":7350.0,""firstVolDivLTGB"":7.367705151405671E-5,""firstVolDivVol"":1.86E-4,""highestVolDivLTGB"":8.950848407079617E-5,""highestVolDivVol"":2.26E-4},{""code"":""300584.SZ"",""time"":1747981650000,""openTime"":1747981653000,""duration"":0,""updatedTime"":1747981653000,""firstVol"":350.0,""highestVol"":350.0,""firstVolDivLTGB"":4.262308765276008E-6,""firstVolDivVol"":1.1E-5,""highestVolDivLTGB"":4.262308765276008E-6,""highestVolDivVol"":1.1E-5},{""code"":""300584.SZ"",""time"":1747981665000,""openTime"":null,""duration"":300000,""updatedTime"":1747981965000,""firstVol"":98850.0,""highestVol"":225650.0,""firstVolDivLTGB"":0.001203797775564381,""firstVolDivVol"":0.003032,""highestVolDivLTGB"":0.0027479713510986607,""highestVolDivVol"":0.00692}]",1,创新药+固态电池+原料药,180400,6388572,33,300584
002808.SZ,*ST恒久,4.33,5.097087379,涨停, 09:36:21, 14:17:54,"[{""code"":""002808.SZ"",""time"":1747964181000,""openTime"":1747978926000,""duration"":9348000,""updatedTime"":1747978926000,""firstVol"":708400.0,""highestVol"":5060200.0,""firstVolDivLTGB"":0.003791052106651907,""firstVolDivVol"":0.118326,""highestVolDivLTGB"":0.027080013932919228,""highestVolDivVol"":0.729972},{""code"":""002808.SZ"",""time"":1747978938000,""openTime"":1747978992000,""duration"":51000,""updatedTime"":1747978992000,""firstVol"":51500.0,""highestVol"":1621100.0,""firstVolDivLTGB"":2.7560584908607174E-4,""firstVolDivVol"":0.004712,""highestVolDivLTGB"":0.008675429940843318,""highestVolDivVol"":0.147884},{""code"":""002808.SZ"",""time"":1747979016000,""openTime"":1747980318000,""duration"":1299000,""updatedTime"":1747980318000,""firstVol"":896800.0,""highestVol"":2165700.0,""firstVolDivLTGB"":0.0047992878730172646,""firstVolDivVol"":0.077148,""highestVolDivLTGB"":0.011589894900304962,""highestVolDivVol"":0.183828},{""code"":""002808.SZ"",""time"":1747980834000,""openTime"":1747980963000,""duration"":126000,""updatedTime"":1747980963000,""firstVol"":230600.0,""highestVol"":1270500.0,""firstVolDivLTGB"":0.0012340720155193815,""firstVolDivVol"":0.013814,""highestVolDivLTGB"":0.006799169539103964,""highestVolDivVol"":0.075943},{""code"":""002808.SZ"",""time"":1747981074000,""openTime"":null,""duration"":894000,""updatedTime"":1747981968000,""firstVol"":43500.0,""highestVol"":1328400.0,""firstVolDivLTGB"":2.327932900047402E-4,""firstVolDivVol"":0.002466,""highestVolDivLTGB"":0.0071090254354551005,""highestVolDivVol"":0.07476}]",1,影像耗材+车联网+ST板块,1168500,4895498,33,002808
002317.SZ,众生药业,13.84,10.015898251,涨停, 09:25:00, 09:25:00,"[{""code"":""002317.SZ"",""time"":1747963500000,""openTime"":null,""duration"":12816000,""updatedTime"":1747981968000,""firstVol"":5.04813E7,""highestVol"":5.1616192E7,""firstVolDivLTGB"":0.06628170470148105,""firstVolDivVol"":13.113048,""highestVolDivLTGB"":0.0677718124525111,""highestVolDivVol"":10.757165}]",1,昂拉地韦片获批上市,18001966,249155513.44,33,002317
603332.SH,苏州龙杰,16.34,10.033670034,涨停, 10:01:43, 10:01:43,"[{""code"":""603332.SH"",""time"":1747965703000,""openTime"":null,""duration"":10866000,""updatedTime"":1747981963000,""firstVol"":1.8777214E7,""highestVol"":2.8912232E7,""firstVolDivLTGB"":0.0867920425532324,""firstVolDivVol"":0.693088,""highestVolDivLTGB"":0.13363812491314886,""highestVolDivVol"":1.001724}]",1,涤纶+化学纤维+一季报增长+部分产品涨价,8514770,139082321.8,17,603332
603091.SH,众鑫股份,53.99,10.00407498,涨停, 13:07:08, 13:07:08,"[{""code"":""603091.SH"",""time"":1747976828000,""openTime"":null,""duration"":5136000,""updatedTime"":1747981964000,""firstVol"":5452160.0,""highestVol"":5452160.0,""firstVolDivLTGB"":0.26663849732195605,""firstVolDivVol"":1.751839,""highestVolDivLTGB"":0.26663849732195605,""highestVolDivVol"":1.751839}]",1,餐饮具+环保包装+跨境电商+外销,1756680,94843153.2,17,603091
000669.SZ,ST金鸿,2.22,5.213270142,涨停, 09:32:06, 09:38:33,"[{""code"":""000669.SZ"",""time"":1747963926000,""openTime"":1747964289000,""duration"":360000,""updatedTime"":1747964289000,""firstVol"":587400.0,""highestVol"":6378300.0,""firstVolDivLTGB"":8.633045348471589E-4,""firstVolDivVol"":0.09629,""highestVolDivLTGB"":0.009374217423588073,""highestVolDivVol"":0.963431},{""code"":""000669.SZ"",""time"":1747964313000,""openTime"":null,""duration"":12264000,""updatedTime"":1747981959000,""firstVol"":2369000.0,""highestVol"":7568840.0,""firstVolDivLTGB"":0.0034817304103726926,""firstVolDivVol"":0.204222,""highestVolDivLTGB"":0.011123959645101414,""highestVolDivVol"":0.61915}]",2,ST板块+公共事业+天然气,6403740,14216302.8,33,000669
301007.SZ,德迈仕,27.3,20,涨停, 09:25:00, 09:33:51,"[{""code"":""301007.SZ"",""time"":1747963500000,""openTime"":1747963899000,""duration"":156000,""updatedTime"":1747963899000,""firstVol"":1.11463E7,""highestVol"":1.11463E7,""firstVolDivLTGB"":0.07285472912247906,""firstVolDivVol"":5.05983,""highestVolDivLTGB"":0.07285472912247906,""highestVolDivVol"":5.05983},{""code"":""301007.SZ"",""time"":1747964031000,""openTime"":null,""duration"":12594000,""updatedTime"":1747981965000,""firstVol"":1.80469E7,""highestVol"":2.1645E7,""firstVolDivLTGB"":0.11795860608457222,""firstVolDivVol"":1.032533,""highestVolDivLTGB"":0.14147659867902884,""highestVolDivVol"":1.176961}]",1,实控人拟变更+复牌+人形机器人（丝杠）+汽车零部件,4364900,119060760,33,301007
002717.SZ,ST岭南,2.08,5.050505051,涨停, 09:30:27, 09:30:27,"[{""code"":""002717.SZ"",""time"":1747963827000,""openTime"":null,""duration"":12792000,""updatedTime"":1747981968000,""firstVol"":1264700.0,""highestVol"":3.268758E7,""firstVolDivLTGB"":7.900636616269096E-4,""firstVolDivVol"":0.027292,""highestVolDivLTGB"":0.02042007523090262,""highestVolDivVol"":0.591939}]",5,生态+文旅+新型城镇化+国企,31129977,64737248.16,33,002717
600493.SH,凤竹纺织,6.27,10,涨停, 09:31:51, 09:44:33,"[{""code"":""600493.SH"",""time"":1747963911000,""openTime"":1747964127000,""duration"":213000,""updatedTime"":1747964127000,""firstVol"":3.5152884E7,""highestVol"":3.6992384E7,""firstVolDivLTGB"":0.12923854411764707,""firstVolDivVol"":6.095824,""highestVolDivLTGB"":0.13600141176470587,""highestVolDivVol"":3.629581},{""code"":""600493.SH"",""time"":1747964130000,""openTime"":1747964658000,""duration"":525000,""updatedTime"":1747964658000,""firstVol"":3285600.0,""highestVol"":1.19718E7,""firstVolDivLTGB"":0.012079411764705882,""firstVolDivVol"":0.167775,""highestVolDivLTGB"":0.04401397058823529,""highestVolDivVol"":0.584221},{""code"":""600493.SH"",""time"":1747964673000,""openTime"":null,""duration"":11898000,""updatedTime"":1747981968000,""firstVol"":9892288.0,""highestVol"":2.3454288E7,""firstVolDivLTGB"":0.03636870588235294,""firstVolDivVol"":0.369075,""highestVolDivLTGB"":0.086229,""highestVolDivVol"":0.859512}]",1,纺织+创投+外销,4332500,27164775,17,600493
